sequenceID	referenceName	Genus	featureName	startNT	endNT
NC_001607	REF_MASTER_BDV1	Orthobornavirus	N	54	1166
NC_001607	REF_MASTER_BDV1	Orthobornavirus	X	1223	1486
NC_001607	REF_MASTER_BDV1	Orthobornavirus	P	1272	1877
NC_001607	REF_MASTER_BDV1	Orthobornavirus	M	1893	2321
NC_001607	REF_MASTER_BDV1	Orthobornavirus	G	2236	3747
NC_001607	REF_MASTER_BDV1	Orthobornavirus	L	3996	8822
NC_030701	REF_VSB1	Orthobornavirus	N	1	1125
NC_030701	REF_VSB1	Orthobornavirus	X	1184	1447
NC_030701	REF_VSB1	Orthobornavirus	P	1233	1841
NC_030701	REF_VSB1	Orthobornavirus	M	1857	2285
NC_030701	REF_VSB1	Orthobornavirus	G	2191	3702
NC_030701	REF_VSB1	Orthobornavirus	L	3648	8798
NC_029642	REF_ABBV1	Orthobornavirus	N	55	1170
NC_029642	REF_ABBV1	Orthobornavirus	X	1225	1488
NC_029642	REF_ABBV1	Orthobornavirus	P	1274	1882
NC_029642	REF_ABBV1	Orthobornavirus	M	1898	2326
NC_029642	REF_ABBV1	Orthobornavirus	G	2253	3752
NC_029642	REF_ABBV1	Orthobornavirus	L	3709	8826
NC_024778 	REF_LGSV1	Orthobornavirus	N	47	1180
NC_024778 	REF_LGSV1	Orthobornavirus	X	1205	1474
NC_024778 	REF_LGSV1	Orthobornavirus	P	1254	1880
NC_024778 	REF_LGSV1	Orthobornavirus	M	1901	2329
NC_024778 	REF_LGSV1	Orthobornavirus	G	2244	3743
NC_024778 	REF_LGSV1	Orthobornavirus	L	3704	8827
