sequenceID	virus_full_name	virus_name	virus_family	virus_genus	virus_clade
NC_001607	Borna disease virus 1	REF_MASTER_BDV1	Bornaviridae	Orthobornavirus	Mammal
NC_030692	Borna disease virus 2	BDV2	Bornaviridae	Orthobornavirus	Mammal
NC_030701	Variegated squirrel bornavirus 1	VSB1	Bornaviridae	Orthobornavirus	Mammal
NC_029642	Aquatic bird bornavirus 1	ABBV1	Bornaviridae	Orthobornavirus	Avian
NC_030691 	Aquatic bird bornavirus 2	ABBV2	Bornaviridae	Orthobornavirus	Avian
NC_030690 	Canary bornavirus 1	CBV1	Bornaviridae	Orthobornavirus	Avian
NC_027892 	Canary bornavirus 2	CBV2	Bornaviridae	Orthobornavirus	Avian
NC_024296 	Canary bornavirus 3	CBV3	Bornaviridae	Orthobornavirus	Avian
NC_028106 	Parrot bornavirus 2	PBDV2	Bornaviridae	Orthobornavirus	Avian
NC_030688	Parrot bornavirus 4	PBDV4	Bornaviridae	Orthobornavirus	Avian
NC_030689	Parrot bornavirus 7	PBDV7	Bornaviridae	Orthobornavirus	Avian
NC_024778 	Loveridges garter snake virus 1	LGSV1	Bornaviridae	Orthobornavirus	Reptile
MF135780	Jungle carpet python virus	JCPV	Bornaviridae	Carbovirus	
MF135781	Southwest carpet python virus	SWCPV	Bornaviridae	Carbovirus	
MG599939	Wuhan sharpbelly bornavirus	WSBV	Bornaviridae	Cultervirus	
