name,host,acc,start,end,eval,qstart,qend,strand,cit,lineage
EBLN-Orthobornavirus.1-AotNan,Aotus_nancymaae,NW_018486101.1,4217662,4218336,2.54E-17,147,391,+,,EBLN7
EBLN-Orthobornavirus.1-CalJac,Callithrix_jacchus,NC_013902.1,19830823,19831493,2.79E-37,147,391,-,,EBLN7
EBLN-Orthobornavirus.1-CalJac,Callithrix_jacchus,NW_003183678.1,9238677,9239347,2.86E-37,147,391,-,,EBLN7
EBLN-Orthobornavirus.1-CebCap,Cebus_capucinus_imitator,NW_016107771.1,180935,181724,3.90E-38,67,391,+,,EBLN7
EBLN-Orthobornavirus.1-CerAty,Cercocebus_atys,NW_012008142.1,5021550,5022495,8.93E-26,42,391,+,,EBLN7
EBLN-Orthobornavirus.1-ChlSab,Chlorocebus_sabaeus,NC_023650.1,21983826,21984781,2.64E-35,42,391,-,,EBLN7
EBLN-Orthobornavirus.1-ChlSab,Chlorocebus_sabaeus,NW_006735249.1,21983826,21984781,2.64E-35,42,391,-,,EBLN7
EBLN-Orthobornavirus.1-ColAng,Colobus_angolensis_palliatus,NW_012119932.1,4443045,4444001,1.70E-79,42,391,+,,EBLN7
EBLN-Orthobornavirus.1-GorGor,Gorilla_gorilla_gorilla,NC_018434.2,25044240,25045244,1.36E-73,42,410,-,,EBLN7
EBLN-Orthobornavirus.1-GorGor,Gorilla_gorilla_gorilla,NW_017493696.1,25044240,25045244,1.36E-73,42,410,-,,EBLN7
EBLN-Orthobornavirus.1-HomSap,Homo_sapiens,NC_000010.11,22208889,22209893,3.18E-72,42,411,-,hsEBLN-1,EBLN7
EBLN-Orthobornavirus.1-HomSap,Homo_sapiens,NT_008705.17,22198889,22199893,3.18E-72,42,411,-,,EBLN7
EBLN-Orthobornavirus.1-MacFas,Macaca_fascicularis,NC_022280.1,22721900,22723189,3.57E-32,42,391,-,,EBLN7
EBLN-Orthobornavirus.1-MacFas,Macaca_fascicularis,NW_005092976.1,22721900,22723189,3.57E-32,42,391,-,,EBLN7
EBLN-Orthobornavirus.1-MacMul,Macaca_mulatta,NC_027901.1,22395285,22396574,1.93E-32,42,391,-,,EBLN7
EBLN-Orthobornavirus.1-MacMul,Macaca_mulatta,NW_014805156.1,2646877,2648166,1.93E-32,42,391,-,,EBLN7
EBLN-Orthobornavirus.1-MacNem,Macaca_nemestrina,NW_012018243.1,11809679,11810645,4.46E-54,42,391,+,,EBLN7
EBLN-Orthobornavirus.1-ManLeu,Mandrillus_leucophaeus,NW_012104187.1,2642183,2643192,3.41E-34,42,412,+,,EBLN7
EBLN-Orthobornavirus.1-NomLeu,Nomascus_leucogenys,NC_019824.1,95697797,95698792,1.52E-74,42,408,+,,EBLN7
EBLN-Orthobornavirus.1-NomLeu,Nomascus_leucogenys,NW_003501380.2,58449018,58450013,1.52E-74,42,408,+,,EBLN7
EBLN-Orthobornavirus.1-PanPan,Pan_paniscus,NC_027878.1,22741611,22742612,5.47E-75,42,409,-,,EBLN7
EBLN-Orthobornavirus.1-PanPan,Pan_paniscus,NW_014014111.1,626003,627004,5.47E-75,42,409,-,,EBLN7
EBLN-Orthobornavirus.1-PanTro,Pan_troglodytes,NC_036889.1,22339517,22340524,2.51E-75,42,411,-,,EBLN7
EBLN-Orthobornavirus.1-PanTro,Pan_troglodytes,NW_019932833.1,2949377,2950384,2.51E-75,42,411,-,,EBLN7
EBLN-Orthobornavirus.1-PapAnu,Papio_anubis,NC_018160.2,21836899,21837881,2.74E-35,42,412,-,,EBLN7
EBLN-Orthobornavirus.1-PapAnu,Papio_anubis,NW_018757008.1,87414,88396,2.74E-35,42,412,-,,EBLN7
EBLN-Orthobornavirus.1-PilTep,Piliocolobus_tephrosceles,NW_020556046.1,22122523,22123479,2.46E-75,42,391,-,,EBLN7
